@log,numColdStarts,totalRequests,coldStartPct,AvgInitDurationMs,p99InitDurationMs,p95InitDurationMs,p90InitDurationMs,minInitDurationMs,maxInitDurationMs,totalInitDurationMs,AvgDurationMs,p99DurationMs,p95DurationMs,p90DurationMs,minDurationMs,maxDurationMs,totalDurationMs,AvgBilledDurationMs,p99BilledDurationMs,p95BilledDurationMs,p90BilledDurationMs,minBilledDurationMs,maxBilledDurationMs,totalBilledDurationMs,avgMemoryUsedMB,p99MemoryUsedMB,p95MemoryUsedMB,p90MemoryUsedMB,minMemoryUsedMB,maxMemoryUsedMB,TotalExecutionMs,MemorySizeMB,CostUsdMs,TotalCostUsd
208950529517:/aws/lambda/oidc-authorizer-benchmark-oidcautho-OidcAuthorizer-Q4ItiBPXLX4W,100,10000,1,39.493,47.07,42.15,41.11,36.28,49.1,3949.3,7.6513,103.0298,15.8309,15.0947,0.89,216.67,76512.66,8.6514,140,16,16,1,217,86514,21.5805,24,22,22,19,24,86514,128,0.000000001667,0.0001442
208950529517:/aws/lambda/oidc-authorizer-benchmark-PythonOidcAuthorizer-cvtIXhsbmtW2,129,10000,1.29,637.8498,689.3387,676.3713,669.6446,574.12,693.43,82282.62,11.858,323.0797,16.0842,15.3362,1.99,436.52,118580.43,12.3877,333,17,16,2,437,123877,76.9072,82,77,77,74,82,123877,256,0.000000003334,0.0004131
